STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-01-2010,5.37,2359,2355,0.04,0,0,,41,32,320,320,0,19.9,23,1,,1,1,1,,,1,,,1,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-01-2010,23.71,2330,2039,0,0.1,0,,33,17,300,300,0,34.9,45,1,,,,,,,,,,,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-01-2010,25.5,1118,1214,0,0,0,,24,18,310,320,0,40.9,47,,,,,,,,,,,,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-01-2010,17.67,449,412,0,0,0,,32,20,310,310,0,23.9,31.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-01-2010,15.88,1558,1557,0,0,0,,32,21,310,310,0,21,30,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-01-2010,18.12,2224,2009,0,0,0,,36,26,310,330,0,25.9,33.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-01-2010,13.42,944,944,0,0,0,,40,29,310,310,0,23.9,30,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-01-2010,14.32,1931,2016,0.03,0.4,0,,33,23,320,320,0,30,38.9,1,,,,,,,,,,1,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-01-2010,16.11,303,1120,0,0,0,,32,19,320,330,0,23.9,28,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-01-2010,12.3,1835,1839,0,0,0,,30,14,320,320,0,17.9,23,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-01-2010,10.51,1727,1303,0,0,0,,32,21,270,330,0,15,23.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-01-2010,14.32,1712,1837,0,0,0,,37,24,320,320,0,30,36.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-01-2010,12.97,156,155,0,0,0,,36,24,320,320,0,23.9,30,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-01-2010,5.37,2004,2000,0,0,0,,39,25,200,200,0,13,16.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-01-2010,10.74,1829,1829,0,0,0,,50,27,310,320,0,23.9,28,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-01-2010,10.96,1159,1159,0,0,0,,49,33,290,290,0,17.9,23.9,,,,,,,,1,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-01-2010,11.63,2350,2323,0.64,0,0,,42,31,30,40,0,28,36.9,1,,,,1,,,,,,1,1,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-01-2010,14.76,227,226,0.02,0,0,,50,36,20,20,0,30,38,1,,,,1,,,,,,1,1,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-01-2010,5.59,2020,2015,0,0,0,,46,33,270,270,0,16.1,21.9,1,,,,,,1,1,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-01-2010,10.51,1456,1526,0,0,0,,44,33,330,340,0,21,25.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-01-2010,5.37,1542,1601,0,0,0,,43,29,210,200,0,14.1,16.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-01-2010,10.51,1200,1646,0,0,0,,45,32,30,350,0,19.9,25.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-01-2010,6.26,1002,452,0,0,0,,42,26,50,10,0,14.1,17.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-01-2010,8.05,2335,2339,0,0,0,,49,27,150,160,0,19.9,25.1,1,,,,1,,,,,,,1,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-01-2010,22.15,1243,1242,0.85,0,0,,53,45,160,160,0,40.9,51.9,,1,,,1,,,,1,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-01-2010,16.11,1318,1250,0.01,0,0,,47,35,270,270,0,25.9,34.9,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-01-2010,12.3,1349,1250,0,0,0,,42,30,270,270,0,21.9,25.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-01-2010,15.66,2205,2205,0.08,0.9,0,,43,20,320,310,0,40,49,1,,,,,,,,,,1,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",29-01-2010,20.36,133,1604,0,0,0,,25,16,310,230,0,33.1,44.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",30-01-2010,14.32,319,319,0,0,0,,20,14,330,330,0,25.1,30,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",31-01-2010,13.2,3,115,0,0,0,,30,15,20,360,0,21,25.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-02-2010,13.87,1608,1018,0,0,0,,37,25,250,280,0,21,25.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-02-2010,6.26,14,14,0,0,0,,33,25,270,270,0,14.1,16.1,,,,,,,,,,,,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-02-2010,9.84,2255,2254,0.03,0.5,1,,40,28,310,310,0,28,36.9,1,,,,,,1,1,,,1,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-02-2010,13.87,811,810,0,0,0,,38,29,310,310,0,25.9,31.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-02-2010,7.16,2355,2354,0,0,0,,37,29,50,50,0,14.1,17.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-02-2010,20.58,1214,1535,0.11,1.6,0,,33,21,40,30,0,31.1,38.9,1,,,,,,,,,,1,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-02-2010,17.45,115,1724,0,0,1,,35,16,360,330,0,29.1,36,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-02-2010,17.22,2318,1643,0,0,0,,39,23,320,310,0,28,36,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-02-2010,9.4,2136,1003,0.02,0.2,0,,40,28,230,220,0,21,28,1,,,,,,,,,,1,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-02-2010,19.46,1452,1452,1.24,10.9,2,,33,30,30,30,0,33.1,44.1,1,1,,1,1,,,1,1,,,,,1,1,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-02-2010,19.91,15,113,0,0,10,,37,28,350,350,0,32,38,1,,,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-02-2010,13.65,1045,1044,0,0,9,,36,25,320,320,0,23,28,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-02-2010,15.66,1943,2013,0,0,8,,32,24,310,320,0,31.1,38,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-02-2010,17.67,1308,1302,0,0,8,,39,27,310,300,0,25.1,32,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-02-2010,12.97,58,57,0.08,0.5,6,,37,27,270,270,0,23,28,1,,,,,,,,,,1,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-02-2010,12.75,1933,2224,0.4,4.4,8,,34,30,300,290,0,25.9,33.1,1,,,,,1,,,,,1,1,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-02-2010,15.66,2352,2329,0,0,10,,34,26,280,280,0,23,28,,,,,,,,,,,,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-02-2010,17.67,1446,1516,0,0,8,,40,31,310,300,0,29.1,36,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-02-2010,20.8,1340,1335,0,0,6,,43,35,300,310,0,30,40,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-02-2010,15.21,1352,1318,0,0,4,,45,35,310,320,0,28,33.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-02-2010,16.55,1641,1640,0,0,2,,47,33,310,320,0,28,33.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-02-2010,8.5,8,8,0.04,0,0,,44,28,320,310,0,19.9,23,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-02-2010,14.54,1956,1931,1.17,0,0,,39,36,30,40,0,21,28,1,,,,1,,,,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-02-2010,12.08,548,532,0.49,0,0,,42,38,30,30,0,19.9,23.9,1,,,,1,,,,,,1,1,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-02-2010,11.18,2356,2330,1.59,2.9,0,,38,28,270,280,0,33.1,40.9,1,1,,1,1,,,1,1,,,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-02-2010,17.67,34,156,0.85,8.5,10,,34,25,270,280,0,36.9,44.1,1,1,,,,,,1,1,,,,,1,,1,,,1
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-02-2010,12.08,932,35,0,0.1,9,,37,29,270,270,0,17.9,21.9,,,,,,,,,,,,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-02-2010,7.83,2357,2347,0,0,6,,40,30,310,350,0,21,28,,,,,1,,,,,,,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-03-2010,20.36,1206,1208,0,0,4,,49,36,340,340,0,31.1,38.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-03-2010,8.05,749,749,0,0,2,,47,34,40,330,0,17,33.1,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-03-2010,17.22,1248,52,0.03,0,0,,41,34,20,30,0,30,38.9,,,,,1,,,,,,,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-03-2010,16.78,1001,1833,0,0,0,,49,36,350,360,0,23.9,32,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-03-2010,15.21,1540,2033,0,0,0,,49,34,360,20,0,23,29.1,,,,,,,,,,,,,,1,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-03-2010,13.42,1415,2135,0,0,0,,55,31,360,310,0,21,25.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-03-2010,11.18,1059,1059,0,0,0,,59,35,310,320,0,23,28,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-03-2010,13.2,1629,1633,0,0,0,,63,39,320,320,0,25.9,32,,,,,,,,,,,,,,,,,,,
